@relation Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute AN0 numeric
@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
24,7,-1,10,11,17,3,20,-28,1
31,8,1,24,16,21,11,22,-28,1
32,15,5,15,18,31,14,22,-18,1
15,-4,-7,12,-1,6,-13,23,-23,1
30,8,-6,15,6,18,-2,19,-10,1
30,6,-3,11,-4,19,8,27,-24,1
11,0,-3,8,5,10,-6,19,-26,1
19,2,-2,8,11,13,-1,19,-28,1
29,7,1,20,11,20,15,21,-17,1
0,-8,-9,8,4,4,-8,23,-24,1
26,6,-1,20,9,16,10,21,-17,1
26,4,-7,8,7,15,4,25,-28,1
11,-5,-8,10,0,7,1,23,-23,1
29,10,5,19,16,23,10,24,-12,1
8,-16,-5,3,-2,5,-15,24,-23,1
24,12,0,15,6,18,7,18,-24,1
15,10,4,10,4,19,-2,19,-21,1
19,5,-6,16,11,17,6,24,-28,1
19,5,-15,10,11,20,67,26,-20,1
13,2,-5,12,2,11,0,27,-24,1
30,7,-1,16,12,19,4,23,-17,1
-23,-2,-2,6,6,10,-9,20,-13,1
33,14,0,21,14,24,8,27,-27,1
30,-1,-8,14,0,18,4,21,-14,1
27,7,-3,20,9,21,2,25,-14,1
19,8,-5,5,10,15,1,25,-25,1
14,5,-9,5,4,10,-4,26,-22,1
23,7,-6,11,5,20,0,22,-28,1
18,8,1,10,12,19,0,24,-20,1
32,9,4,20,9,24,8,24,-27,1
26,14,1,16,-7,24,7,18,-24,1
-6,11,7,28,13,26,20,22,-24,1
27,4,-2,14,7,21,-1,25,-14,1
20,8,-5,12,14,17,5,18,-28,1
24,10,-1,14,10,13,4,24,-19,1
32,7,0,17,19,21,10,24,-15,1
26,11,-5,18,8,25,8,23,-29,1
33,18,2,16,16,24,5,17,-27,1
11,-5,-9,-6,-1,1,-20,16,-24,1
49,6,7,20,19,22,12,15,-27,1
26,16,6,13,13,28,4,21,-28,1
26,8,-4,19,12,21,2,26,-28,1
21,-1,-1,11,2,18,0,31,-29,1
49,6,7,18,18,23,14,15,-27,1
21,9,-7,17,9,27,7,16,-24,1
31,9,6,17,13,21,11,19,-27,1
12,11,4,14,9,18,-1,20,-28,1
32,8,-6,16,6,16,6,24,-24,1
28,6,-3,10,13,28,3,19,-26,1
27,10,-1,13,14,21,5,17,-25,1
23,4,-5,16,10,17,10,24,-15,1
22,10,-2,13,9,24,8,23,-13,1
27,10,-1,20,14,24,6,25,-14,1
-53,-60,-77,-56,-62,0,-70,20,-12,1
20,-4,-6,12,6,18,8,22,-24,1
24,11,-4,14,18,18,3,22,-13,1
22,6,-5,14,11,19,0,23,-15,1
3,-3,-7,6,-2,0,-14,21,-24,1
27,8,-7,13,7,18,5,24,-15,1
28,11,-2,13,6,15,0,20,-17,1
21,2,-5,5,5,14,-10,19,-26,1
33,4,-5,14,2,13,-4,22,-18,1
20,10,-1,10,15,21,8,22,-23,1
26,12,0,78,8,25,10,23,-19,1
12,-1,0,6,-4,15,-3,21,-28,1
22,8,-2,15,19,23,-4,23,-16,1
23,2,-5,14,3,19,-2,23,-14,1
40,6,-2,15,7,15,13,22,-18,1
18,0,-5,9,4,18,-1,25,-14,1
5,0,0,5,1,6,-14,22,-25,1
27,7,-2,23,5,22,4,23,-30,1
32,5,2,15,10,21,7,25,-26,1
31,7,-6,16,7,18,8,20,-27,1
18,9,-2,12,18,26,3,20,-15,1
24,8,0,17,5,21,-5,20,-13,1
18,9,-11,11,2,13,7,23,-14,1
20,5,-1,7,12,12,5,25,-13,1
25,5,-4,12,10,16,1,25,-16,1
19,5,-7,11,7,11,5,24,-25,1
22,6,4,20,9,26,15,20,-13,1
32,6,-10,14,-8,15,-3,22,-18,1
25,14,1,27,8,26,11,23,-26,1
39,5,2,20,6,20,16,26,-21,1
21,9,3,9,10,24,8,19,-27,1
35,10,3,12,8,19,11,25,-18,1
22,0,-6,13,2,15,10,21,-14,1
22,2,-6,15,12,14,-6,20,-27,1
24,8,-8,13,7,19,-1,25,-19,1
32,7,1,9,10,18,8,23,-15,1
34,9,-2,17,16,27,5,24,-14,1
16,1,-15,13,8,12,-4,21,-18,1
25,10,1,11,5,24,8,20,-11,1
16,-1,-4,8,3,13,-9,23,-29,1
74,10,-2,74,74,74,74,19,-18,1
34,7,3,18,7,19,8,20,-23,1
22,6,0,19,12,25,6,18,-24,1
12,2,-10,4,-14,5,-14,17,-24,1
29,10,-4,20,14,21,8,23,-17,1
21,11,-5,21,7,23,0,23,-27,1
35,14,-3,22,13,23,14,24,-25,1
28,4,2,10,9,16,3,19,-14,1
27,17,0,17,19,24,7,19,-27,1
29,17,4,25,13,19,10,18,-28,1
23,7,-5,15,3,16,3,24,-15,1
23,7,-3,13,9,16,7,23,-12,1
13,-1,-3,0,6,12,-8,20,-28,1
24,2,-12,9,5,17,3,22,-28,1
27,13,1,19,11,29,11,24,-12,1
73,6,-3,15,9,73,9,20,-17,1
22,1,-7,15,2,18,10,22,-24,1
24,17,-6,13,10,19,11,25,-18,1
27,10,5,13,13,16,12,19,-27,1
20,13,5,14,16,19,2,20,-26,1
28,8,-6,13,9,17,7,21,-26,1
15,6,4,20,10,25,3,19,-27,1
36,2,0,17,14,19,12,21,-25,1
7,-6,-10,-2,5,5,-11,19,-26,1
30,12,-6,8,11,22,0,22,-29,1
9,-3,-6,10,4,3,-12,19,-24,1
27,5,-3,14,8,29,4,28,-16,1
23,5,-7,6,2,20,16,24,-15,1
43,11,3,18,20,74,7,21,-13,1
31,8,-2,17,8,24,4,24,-18,1
11,-11,-12,2,3,6,-9,23,-23,1
20,12,0,16,11,21,10,24,-12,1
28,8,4,9,12,16,1,24,-28,1
20,11,-6,11,7,13,-2,21,-27,1
19,0,-10,16,5,12,-11,21,-18,1
26,3,-4,15,4,18,5,20,-27,1
25,7,-6,7,12,17,2,22,-15,1
17,0,-9,18,8,18,-4,25,-26,1
9,4,-6,13,5,14,-1,23,-16,1
13,1,-11,-3,8,7,-10,25,-25,1
-3,-9,-4,4,6,3,-14,24,-24,1
24,9,-4,16,8,24,5,27,-17,1
30,9,-4,19,4,21,12,19,-28,1
20,11,-5,13,13,19,11,21,-25,1
19,5,-8,10,7,11,2,24,-25,1
31,9,-2,5,2,14,7,22,-16,1
9,-6,-9,9,-1,6,-6,24,-23,1
29,17,1,14,18,18,5,21,-12,1
